label,content
1,Asma3 moukliyid mlih dans les yeux Athane thevra thmetouthiw khass aken mazal ouzwidkaghara ar mayssahagd loukane aghroum akourane akdhimAthane ihi
1,Almi dassa ithezridh
1,Sahit ttiririth le3alli
1,Win igan 1/100 seg wayen iga Sadi i tmazight negh i tugdut seg wigi i t-iregmen ad d-inin. D netta i yellan deffir tafsut Imazighen
1,Non on fait pas ça sghorwen hhhh
1,.Amk tezrid ichvah hhh
1,La vérité iss3a elhaq la liberté machi g 3ari
1,Toi aussi saha imansiynak
1,###### thekamaltass s le mot ni a gma MdrOssaqarara akeni molach adhimkhal
1,roh soub athan oukessar 😒
1,hhhhh susem Kan nkni dimezwura
1,Hbibina Ivan is3a la boucherie c'est pour ça ihemel idaren idahduzen 😂😂😂
1,Ayuliw yavdan af sin
1,Ulac deg-s yak iswi d yiwen d annay amaziɣ
1,ttqelivagh l3qell iw utufigh Ara
1,Aḥuddu aḥunnu fellak ayamdakel-iw
1,Ayemma yemma 3yigh gid yesthufan
1,Sterfir rebi mim3r9nt tsymd l9nta roh zal senat rek3at yella acho yifn rebi da3o gar rebi dgolim a9lar dilw9t nv3ed afrebi bzf évidement
1,nek khdhighe je commente pas thaki wali kech
1,Akka ak9ren elkhebzza in3le boulkhbza ta3 tehine!!!! Mais oulach smah oulach oui le combqt continue ....
1,Anfas i Wul adyass3thfo.
1,###### 🤣 heftene koulech
1,Ettes afyimanim tharwidh arratim nekni nechdha9 adhnedhlent wallen 😂
1,Felas yafu rebbi 
1,andath waghvel dagi
1,Akhir dharvah falak à ######
1,S mkhlentt lqvayel thhhhh nsmkhlitt
1,Nrml ak imi deswdhed je pleure la nuit tarwidhed lmoukhiw
1,Mazalithen tt'sen
1,Vive les amazighs anaraz wala anakhnou
1,Oui dash dwal m3an mazl la3ibad yalahan
1,Athirhem rabi izem nimazighen
1,wali waliiiii awgad rebbi 🤣🤣
1,.###### d aqvayli dassah
1,C pour c on se marie pas psq toughalemt tghelbemt lmektoub s les recettes ayi imagine lkn Ur tentsimt ara akka yek at qimemet nekkni on seras on paix indépendant ;
1,Noughal imedene tsdhssa
1,Thabahan
1,Aww a3ni snath iglane ..balak ta9dimeth
1,Mazalikem d niyya chemma déjà ma theghliyak 3lik laman tfittid a l'or lmouhim slamet rras alfertas
1,Argu mqar di tirga antt3ichy
1,Tsidets achku ma tevgh-idh at arrudh s teQvaylit ilaQ ats issin-dh tira- akken iwatha.tanmirth.
1,Dhagour mou zin ithran
1,ad yughal kan azka
1,Awah ouguigh ad amnagh😂
1,Ulach dhegus hhh ...$$$
1,Argaz dwawal c'un héro Un homme combattant il a vécu l'injustice vive farhat et vive le makDizim
1,Ki vous ki nous yiwen ukk n wa3kaz ighiwthen hhhh
1,Thamedith neser dliser nchalah
1,Iwachu xedmen aka
1,Win yaweth alaz s qarou ichefu Win yaweth alaz s 3aboudh ad yech ad yettu
1,Siwa asemkti idyeqimen dagayen i3edan feli 😁
1,anagh ithemyem tufza degeqdim 😂
1,Arwah nahdhar glmassanjar
1,tikhriyi aah
1,anwa ayzoukhen laanaya rebbi ...neqar dhi lkouri am wagi ...departement n triciti thifthiline ak rghatt nlahou i tllam
1,Thanmirth thamedithe egarzen inchalah
1,A3ni yela assemi thetrozoudh lmeghrev deg khamen meden
1,Di 24 yidsen vegsen ebwithen mi thezhher ethmes di Tizi
1,###### ayghar mskin yhamlittt ayaa hhhhhhhhhhhh
1,Rebbi hrez
1,Tettmoudoudh les conseils CV hhhh
1,C'est bon zenzaghth oghaaghthid th 9elb elo
1,Adhisav3adh Rabi felas elmofh mazalits thedar wa athdegdig
1,Skutrfiyidd madeseh telid
1,dhagour
1,Attaghlidh gulik agad rebi
1,Afud igerzen. D-isenfaren ay reṣṣin ugar ivedi n tmurt Taqbaylit.
1,Mais trohent ar darwiche machi ardarwichte ngha ala
1,Youghal oukelmoun si dharen
1,w3er achki aye3emer walagh aah 😂
1,S toughzzi le3mrensent 
1,Machi ikkel hacha win ouyestahlenara
1,machi anchthik
1,Hadreth iman nwen ; s xedmentsid ichwal
1,Assagui mi tehres fellasen ad qaren xawa xawa azekka mi. Ara tseggem ad kinin si zik nekni 3dawa ...et lexbar idjibouh twala 
1,Elle avait... thoura thughal ar lqa3a nagh amek
1,Akhamis our thyefridh ljame3 yetfas amezir
1,Athenyarhem rebi akken mallan
1,###### kecc akked ###### d stutat a xayi ur tezmirem ara akk att wtem nnah hhhhh lol
1,###### nezhith
1,Thamlah
1,Idhuman umezruy
1,or chakaghe mais kech choukagh
1,Staghfer kan aweltma akk s3an ighevlan machi aka kem ilikm ttafehlith courage
1,tanemmirt-ik a gma n tasa 
1,Ghilent temẓi adum kan aka hhh
1,Efkigh as rray i muh yevna Yi taxamt n luh!!!
1,Ulach fellass à Ttafet Thamedith igarzen Nchallah
1,Axatar yargha
1,Les filles qriv adhrafdent tibadhin n batisri adrohent adkhadhvent 😂
1,NN ilha iwin iss3an lhab gouthemis ithakas surtout mala idiks ihma
1,a mdrr mithella kan thamghra adsiwlen
