label,content
0,Rouh inaldin a rasa imawlanime a thakjount
0,Ar yemakh athedhegueragh
0,Yawadi nik ymam aken Qaran iQbayliyine Amtag daGmi ayhoooooooh
0,Thaghyoulte daya????
0,Nik hachoune yammam alkahba
0,inale dine yemame 
0,ayeliss elkahba la pute des ministres
0,djeth thakjount thehwadJ
0,Akidas tkriht ayaryoul loukane idagura rorwane yali artoura mazalikan sadaw arahma nafrasa ya li lache foulken de chet nou ya rhis
0,Khem tevghidh aaahhhRuh adhisenguer rebbii yer rassa am khemi goudhmim mouloud maamri aya double ponts !!
0,A yadarwich afouhane
0,Na3ima salhi ayoudhem n te9jountt
0,Alokan atetefagh areghis mis taqejonte
0,Arwah jetith kech ayir zari3a 
0,Nrk yamam
0,Inadin bavam à l khareth
0,Thifits theghioult
0,Outhetssethehidara à fyimanik kechini dayahoudi vive l'Algérie vive le drapeau algérien
0,Thevra yemass ni gemam achmata...
0,Nick Yamam aya syd
0,thagi ttaghyoulth
0,Iii thghyoolt agii Yiwen machi ysla syem hdhar nagh qim
0,Ina3din gemak
0,Akyakchaf rabiam athnghagh dhi suq ya khuntha tfoooooooh fik yarkhis
0,Taqjount tafouhant tfouuuu yelis n h 
0,Taglav chitane
0,Reh a taghyelit
0,Akmidul arebi
0,Inal tez yemmam
0,Voilà les putes oughalent hadrent wali imanim athakdjont
0,Din yemam
0,Tafunast ulid nini
0,Na3din rabi nbavam a yeliss lahram à thaghyoulth
0,Nike yemam
0,Iya aminigh roh atefkedh aqarqorim al qehba;nik hetchoun yemmak am kemm am les arabes inem;tu peut te les fourré dans ta chatte sale pute de merde;the3yidh thekathedh abouche am oujouaq dhi les boîtes de nuit....
0,Thakhna weghyoullll thagui
0,Aghyouuuuul va
0,chematha tizrouraq
0,Anti rikhissa rajelake arkhiss yath ya thagheyolet
0,Dhizane ithes3gkoroyis
0,T3anadhem tamehvoult ayi?
0,Yakhi taghyoult
0,Harq din tfamiltiss . il3ar thafouhant. Lmeskhra gratuite
0,Ruh assefkedh
0,Din imawelanim atharekhiset tafohat senad kemini ad hedrad yaghi tarkhiset tafohant
0,Aya nik hechounchoun yemam a lqehba
0,Tfouuuuuu ayagheyouuul
0,Allah yastar dhachitan atikhzou rabi
0,N3ale hachone yamame oui yalekaheba
0,asss THAKHNAM A LQAHVA ................
0,A na3ima awid anequ
0,taghyult telsa elqec
0,Ruuuh nikkk ohchoon ymamm gsaaa ila yawmm eddinnnn ta pas honte d c que t'es entrain de dire salopeeeeee niikkk ymmmammmmmm
0,DIN N BAVAM
0,Teqbedh yemmat nigemmam
0,Inadine gemam ikmidissan avec tout mes respects pour elle ..elle aurai du avorter
0,n3al dine yemam.
0,Hhhhh  wlh elle m'a fait rire Rouh atnadid afesa3dim anda yella khdoukem i leqvayel ahh ousentezmiredh ara meqqar outtem3iridh ara prsk atkhelsedh Ayn our teccidh 
0,Tfouuuuuuuuuuuuh in3adin imawlanim
0,Kemini tagheyoulte
0,Ahakan mitnafra adnoughal ghouram ourtughadh athafounasth
0,Anda ithalitt ayellis allahramm
0,almal ouzaraz
0,Dagheyouuuuuuuuuuuuuuuuul lahibarek 
0,Thedar bakhta. Thahraymith. Elle a oser la pute
0,Arwah khem douchikourim atha3ravth thafouhant vive imazighen
0,Fermer ta gueul a la salope regarde toi bien sur avant de parler sur tamazight ok tu es une imbécile athaghyoult hmara
0,Daroulek echane Aya kadhoum guizzzzaaaane
0,Aghyoul yifikem 
0,Akem yekess rebi c est tous que je peux te dire
0,Enaden yemam
0,Aya thafounasse agi une vache une vrai vache arabe
0,Nik yamam alih
0,Oui a thaghyoult na fin bavam
0,Anadin djdimmm allkahba
0,Hachoun yemam et nike ta religion
0,Vous êtes yiliss lahram et tu resteras toujours
0,Roooooouh houf ayoudi anda ara thaxrat; oughdataguirara izanime gherdayi
0,Inadiin babam roh letteho d kecheghalimm tikherass itemazigheth tranquille
0,Yatsfuhu yarna mlih
0,Nadine rabi babam a lkahba
0,Bela3 a yelis lehram
0,Sethaghyoultim
0,abouchiiiw ana3imaaa thesned abouche hhhhhhhhhhh
0,Sousame athakjounte
0,THAQJOUNT AMEFK A RABI BOUHAMRON
0,roh inal hadjon yemame sale race un pute tfouuu
0,dhiŹZane thagui
0,Tsaghioult meskinte hhhhh
0,Dh yemakh à ya ghyoul
0,Vive fehat vive le mak ihark din mohamdim kamini athalghamth
0,Wa n'aima aroh atefkedh nik hechooun yemam
0,Yakhi zayla yakh arr akin
0,Naal dîne babam à la pute
0,Awar dughal thelouft am Taki vive laqvayl vive arraw n teleli
0,Akmachan yadmaran ni yal kahba tfouh inadin mok inadin ta3ravtim
0,Ina3din bavam
0,Tssaghyoult... Avec tout mes respects pour l animal
0,Yenal hchoun yemam a naima lkhba
0,Inaaaaadinnn yemmaaaammm ya lahmaraaa
0,Rohe teqawade atinahate na3ya gelqawadaynam
0,Vive les kabyles et thamazighth athaghyoulte Thafounasthe Tfoooooooo 3lik ila bagra kima Enti talahki kbayliya
0,Aklikam fobochiw
0,Inal hachune yemam
0,Roh inaadin rabi nbavam a takjont
0,Mdrr amek temog! Aghyol izem 
0,Sthakhnam thakhtitagh mera machi tamazighth kemi solalaynam thban wanisit
0,Rouh atkherathe athouwthyathe
0,mouqel yir chetla yir zerri3a n yellis teqjount agi --"
0,Nik yemmam a tabatarth
0,Inadin bavam
0,Ruh nel hajun yemam
0,Na3l d'un yemmam ayellis lahram
0,Nike yemam
0,Thezridh itharyoult yellis garyoul amdichaga3 rabbi tho9it
0,In3adin babam ataghyoute ta3rabte tafouhate tasnam kunwi rabi di lmaslaha nwan ayimoukar ayichayaten al khamjin c ta pas compris je vais t'écrire en arabe ya hmara
0,Inaal rassam a yellis lahram.Dewla us tezmir ara parce que tegha aka . eh bien ilaq as w ayen is ilagen
0,Tharyoult aka mthaki thmodemace anchtha lkima melmi aka imazighen selen iwawal tmetoth
0,Yefith waghyoul
0,Tagheyolt ta gueule tesened leqvayel akken athedered felaghe à tacheravet
0,Loukan attetfagh attekathagh alama thzaher 
0,Nik yemmam alqahba
0,Thaghyoult va !
0,Nik hatchon yemam
0,A Thakhena ; Irhab del Mouslipine comme vous
0,A syfax.achou rebbi teqjout agui ayseglafen dagui. Hhhh
0,ina3din tmurth aki
0,Vive Matoub après ma musulman nagh lik nagh cris ulach dacu i ruhen sena Matoub il chante sur la liberté sur les daroit de l'homme sur la culture amazigh ... Alors ma d kem a naima ruh a tteksed tizitt
0,Yelis elehram
0,na3imaaaa ana3ima ana3ima hachoun yamam abouuchiw pour toi et toi tesa pipa .......?
0,ina3din yamam athaghyolt
0,efaghe ayadjrathe thamourthiwwwwwwwwwwwwwwwwww
0,Nik hechoun yemma m al qahba
0,Amazigh Dilem adeyegzem rebi ilssik inchallah
0,Akhi la peut akhi nik hchon yyamam
0,Tsaghyoulthe tout court
0,Abdelghani Mac inaldine djedek ayaghyouye le fils de pute c toi
0,i3raben n yezzan 
0,din yemam ya rekhissa
0,athane in3adine rebime ihé
0,Oudhm n tfonasth
0,Rouh sagam oudhmim 1 prcq thatchavadh touba et sagam thitim la droite athan thatrouh temps en temps et un jour akmanakas amadam gir 3alit galbalim la finynem th9arved mliiiih
0,A taghyult d i3raben idikecmen gher ledzayer maci d leqbayel
0,Inahu takhnam
0,thafounesth mou ihellaven
0,Tfoooouh a yha9jount
0,Atas i sthefkam elqima i themqarqarth agui ghef aya i thesglaf theranou 
0,Houhou yechek fi rouhou a ya qaru ufunas
0,Nik yemame
0,Welah ghir thetchabahass itoubba
0,Ahya ataryoultt aaa toi même je crois que ta pas compris de quoi tu parle svp Di au idiot de se taire psq la il nous font hente
0,À yellis n lahram
0,A thighssi farhat DD za3im
0,Adaghyol lahibarekk 
0,Aharki afouhan DH kech andheqar ghar la poubelle
0,Nique 40 yemam ...yemam akud 39 isittemchavin
0,Thagui taghyoult.thedja3djou3
0,Ina3dine bavame ayalis lahram thabatarth athaydith
0,Nik hechoun yememe algahba thefouhent nik
0,da lemouloud athirhem rebi ikemi an3al dine tefamiltim a thaghyoulte
0,Nik yemam
0,Ahyuh tiléfth
0,D taghyoult d aya
0,Atafohant ataghyoult arwahi ntia bara
0,Wa saliha inaaddine yemmam
0,akmikhzo rabi
0,ena3el arrassam am kemini amourgazim
0,Afernes rebi udmim
0,hhhhh attetfa gechbouv is attewtha alqa3a attdewra attdewra attsousfa attwaligh ad ttadhsadh akka a ###### Lydia 
0,Iqjan la kabylie kunwi d kunwi ighyefkan iw khessar ksenawen isarwula nwen ayiqjoun Vive le mak vive la kabylie libre et indépendante Y a-t-il de l'espoir pour l'instauration d'une Algérie berbère; fédérale; laïque et démocratique en citant dans le préambule de la constitution que l'Algérie est terre berbère favorable pour toutes les croyance religieuses ? En remplaçant l'article 2 par: l'Algérie est un état laïc respectant la liberté de culte et de croyance.En changeant l'article 3 par: tamaẓiɣt est la première langue de l'état; de l'administration et de la diplomatie.En démissionnent de la ligue arabe.Ps: question pour mes frères kabyles qui croient encore en cette histoire à la sendrillon.
0,Tjr taghyoult kan tamourth miki
0,Dkemmi i ttaghyulte 
0,Ata9joht. Ta9jatin. Tavra yamam. Afghad. Ar. Cha3b. Amimal. Atafotaht.
0,Achhal litrath ithtazeg par jour là race agi
0,na3l din am bavam ayiwethe at fouhante
0,Reh nek yemam a la put
0,bele3 takhnak
0,Nheqriken YEHWAYAGH
0,Ahya aya harki le traite de l'Algérie loukane mazalte amirouche akimdhal thimoudar aya bahloul
0,Rouhe atefkate
0,i ruh iharq dim chelaghem inem
0,Inaal waldim
0,Agheyoul ihedder mo3jizaaaaa
0,Nik yemam put de merds
0,Stakhnak ihi ligh hemlgh_k ttqadareghk tura teghlid guliw ay aghyuy drapeau n lzayer d vavak itidiharen a tneh a zayla lzayer yuk d leqvayel d kech IG rzan MAK c bon
0,Achehal la pass imnighe
0,Ettethakhethnam a n'aima
0,Abhim meεduṛ ad iwhem
0,Ta3ravt taghyult tefkam as azal
0,Harq din izoran gemmam un3andin gemmasss iyellim agi les bâtards tfooouuuuu
0,Thaghyout sousame
0,Yelis teqjunth am kem mazel tehdred
0,Uqaruk nchallah lmouth ikech machi ildzayer
0,Din erassam athaghyoult
0,mdr techidtid af yeqbayliyen ihi amdinigh ataryel assa azeka tamazigh tella tella
0,Rouh atafkadh
0,Aminigh yiwane wawal kamini taghyoult
0,Inhraqedin laslim arasa lakhemadj
0,Ruh Attefked aweddi wlh ar testafed ;)
0,Mazalikam ayalis ocabaret
0,Htchun yemam
0,Yerhark dine rebek amivechane
0,Roh atemthet aweldi roh
0,Pff ula delmutt att t ghunfu! Ldjifa...naima la coiffeuse
0,Nadin bavam ataghyoult araiha itrahen tamazight khir ou kadoumim ataghyoult nous les Berbères anaraz wala naknou mais lemeskhra amkemini toujours tekanoud et asa azezka tamazight tela tela
0,Yeterwech el aavdh ayiiiii
0,Rouh  a thiddewth
0,Rouh ahar9din nbavam Une salope
0,Din yemmam athakjiunt
0,dyhia taghyult a une place b3id echar ma dssawedh ghourress
0,A thaghyoulth din yemmame et din bavam à yeliss lahram
0,l arabe loughate guizane a thaghyulte; tfouuuuuu
0,Lilia lyly Nick amok raki arbiya dabochiw ara yzwdgan adwiyi
0,Wa dhizane athaghyoulthe. البربر سيادك
0,Aouimas laaelf itfounas agui toulouz
0,Tafounaste nigougilene par exilance
0,Wa naima salhi gizan yarhem babak dhayen na3ya dhgem fuknagh lehdhur ne nayamethnid ak
0,Roh nik hatchounvyemam alkahba
0,A3jeb hhhh itaghyult awwweIna3l din mok
0,Et hachune yemam lougha haya ???
0,Naghe thoura thaki ilak atamzél !!thapthad sayaniw allah allah thayéne soufghathassid assabalafrighe nak yak ###### Zakia Anano!!hhh aya a zakou assanmal anwi itha th yenni
0,Yemma-s tes3a-d argaz macci am kecc turwed zzayla i k-yecban
0,Anal ahchoune yemame alkahba
0,Rouh atef...
0,Thaghyoult; rkhiss
0,Ina3eddin chetlam a taqjount
0,tsaryolt nik yamam
0,Takjot lhokoma
0,Matoub dargaz ghaf l3ar ni n wergazim d la race im imeraa 
0,Roh atefkedh roh ta3ti am kech am farhat
0,Roh inaadin yemam
0,Taghyoulth tafouhanth
0,Rouhi elkhamdja athaghyout in3ladin rassam
0,in3adin rabiym arkhis
0,Yir zariâa
0,Wa taaazzzzz
0,Yir vnadhem
0,9oyas yemas secra lahdhor
0,tfouuu ina3dine waldik athakjount
0,Roh ataynat lwahi doghyoulim athaghyoult
0,Oulach gu krouy koulech gu âebout benou nâam thaghyoults
0,Inadid bavam a tyidawtye
0,Atrouh atef netat dwilan amnetatte l9ahba tafouhant ta3ravt tafouhante
0,Dh kech ara ndheger gher la poubelle
0,Yalkahba ahkem thakhnam qbel
0,Akmidass thakrihth
0,Dine yemam dewin n vavam...
0,Rouh in3adin l' djdoudim à tafounast est Bein dit malika Matoub
0,Nik yemmam i vavam à la pute
0,Akmidaaas khra te9rihth nchallah rnoutt kan i wergazim nagh inas i din bavam ad yernou thametouth i yemmam al kebch va
0,yaaaaaaaaaaaw roh nikyemam
0,Tfouuuu fouuuuut aghioulte
0,tafounast ina n ye3ravin tfouuu 
0,Inare hachoune yemam
0,Maîs taghyoulth tagui;
0,Stp arrêté utpartajithara l'animal agui dhagui dhwaghyul kifkif uthfahmara yarna zzur wudhmis alors PK adsaghligh niveau nu adhcritikigh zgas .... !
0,Tikharmagh oustakmara elkima iwekjoune
0,Thaghi taryoulte taryoulte hachakoum
0,Adiharqagh rebi n bavam salle pu.....
0,Akmidass thakrihth
0,roh atekhrate atafouneste .
0,Roh athefket thakhenam
0,Roh nik hechun yemam a la pute
0,iharqadine atfamilthim machi gudhmime taqvailith ay3aaaaaaaaaaare
0,Tu connais izane ? Izane ihi
0,TAGHYULT MATOUB mieux que tt les arabes du monde ça va comme sa!!
0,Amkam amoukjounni Ilan yidam athaghyoult
0,Hhhhh c'est trop tard ya chiyata inadin yemam
